actual_output,expected_output,word_overlap,length_ratio,label
Paris is the capital of France.,Paris is the capital of France.,1.0,1.0,1
Paris the is capital of France.,Paris is the capital of France.,1.0,1.0,1
France. is the capital of Paris,Paris is the capital of France.,1.0,1.0,1
Paris is the capital of France.,Paris is the capital of France.,1.0,1.0,1
Paris is the capital of France.,Paris is the capital of France.,1.0,1.0,1
capital is the Paris of France.,Paris is the capital of France.,1.0,1.0,1
Paris France. the capital of is,Paris is the capital of France.,1.0,1.0,1
Paris is the capital of France.,Paris is the capital of France.,1.0,1.0,1
Paris of the capital is France.,Paris is the capital of France.,1.0,1.0,1
Paris is the capital of France.,Paris is the capital of France.,1.0,1.0,1
Paris is the capital of France.,Paris is the capital of France.,1.0,1.0,1
is Paris the capital of France.,Paris is the capital of France.,1.0,1.0,1
Paris is the capital of France.,Paris is the capital of France.,1.0,1.0,1
Paris is the capital of France.,Paris is the capital of France.,1.0,1.0,1
the is Paris capital of France.,Paris is the capital of France.,1.0,1.0,1
the is Paris capital of France.,Paris is the capital of France.,1.0,1.0,1
Paris is the capital of France.,Paris is the capital of France.,1.0,1.0,1
Paris is the capital of France.,Paris is the capital of France.,1.0,1.0,1
Paris is the capital of France.,Paris is the capital of France.,1.0,1.0,1
Paris is the capital of France.,Paris is the capital of France.,1.0,1.0,1
The capital of France is Paris.,Paris is the capital of France.,0.5,1.0,1
The capital of France is Paris.,Paris is the capital of France.,0.5,1.0,1
The capital of France is Paris.,Paris is the capital of France.,0.5,1.0,1
The capital of France is Paris.,Paris is the capital of France.,0.5,1.0,1
The capital of France is Paris.,Paris is the capital of France.,0.5,1.0,1
The capital of France is Paris.,Paris is the capital of France.,0.5,1.0,1
The capital of France is Paris.,Paris is the capital of France.,0.5,1.0,1
The capital of France is Paris.,Paris is the capital of France.,0.5,1.0,1
The capital of France is Paris.,Paris is the capital of France.,0.5,1.0,1
The of capital France is Paris.,Paris is the capital of France.,0.5,1.0,1
The capital of France is Paris.,Paris is the capital of France.,0.5,1.0,1
The capital of France is Paris.,Paris is the capital of France.,0.5,1.0,1
The capital of France is Paris.,Paris is the capital of France.,0.5,1.0,1
The capital of France is Paris.,Paris is the capital of France.,0.5,1.0,1
The capital of France is Paris.,Paris is the capital of France.,0.5,1.0,1
The capital of France is Paris.,Paris is the capital of France.,0.5,1.0,1
The of capital France is Paris.,Paris is the capital of France.,0.5,1.0,1
The capital of France is Paris.,Paris is the capital of France.,0.5,1.0,1
The capital of France is Paris.,Paris is the capital of France.,0.5,1.0,1
The capital of France is Paris.,Paris is the capital of France.,0.5,1.0,1
Water Celsius. at 100 degrees boils,Water boils at 100 degrees Celsius at sea level.,0.5555555555555556,0.6666666666666666,1
Water boils at 100 degrees Celsius.,Water boils at 100 degrees Celsius at sea level.,0.5555555555555556,0.6666666666666666,1
Water boils at Celsius. degrees 100,Water boils at 100 degrees Celsius at sea level.,0.5555555555555556,0.6666666666666666,1
Water boils at 100 Celsius. degrees,Water boils at 100 degrees Celsius at sea level.,0.5555555555555556,0.6666666666666666,1
at boils Water 100 degrees Celsius.,Water boils at 100 degrees Celsius at sea level.,0.5555555555555556,0.6666666666666666,1
at boils Water 100 degrees Celsius.,Water boils at 100 degrees Celsius at sea level.,0.5555555555555556,0.6666666666666666,1
Water boils at 100 degrees Celsius.,Water boils at 100 degrees Celsius at sea level.,0.5555555555555556,0.6666666666666666,1
Water boils degrees 100 at Celsius.,Water boils at 100 degrees Celsius at sea level.,0.5555555555555556,0.6666666666666666,1
Water boils at Celsius. degrees 100,Water boils at 100 degrees Celsius at sea level.,0.5555555555555556,0.6666666666666666,1
Water boils at 100 degrees Celsius.,Water boils at 100 degrees Celsius at sea level.,0.5555555555555556,0.6666666666666666,1
Water boils at 100 degrees Celsius.,Water boils at 100 degrees Celsius at sea level.,0.5555555555555556,0.6666666666666666,1
Water Celsius. at 100 degrees boils,Water boils at 100 degrees Celsius at sea level.,0.5555555555555556,0.6666666666666666,1
